V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,feature
0.428298239,0.302403743,0.399985855,0.314013479,0.156915023,0.141636077,0.129425164,0.15742135,0.291314933,0.338097458,SubFPC88
0.287338356,0.309189867,0.224870946,0.352882783,0.299056771,0.301659426,0.307464422,0.139106876,0.279436031,0.051562187,SubFPC299
0.250565132,0.196589694,0.180803088,0.148801723,0.045357954,0.177013122,0.113769272,0.364784633,0.203838174,0.156010582,SubFPC85
0.246080938,0.221147048,0.319569627,0.13978282,0.237997309,0.11277138,0.072606022,0.101021972,0.19000026,0.139720857,SubFPC4
0.168350843,0.198674803,0.096556601,0.217106913,0.142163049,0.116335598,0.112255395,0.146637327,0.159666931,0.278812198,SubFPC3
0.194757836,0.23583899,0.202889201,0.162163957,0.141662536,0.149468669,0.154692364,0.066414737,0.12488376,0.100199663,SubFPC96
0.116655832,0.222213792,0.17066305,0.079357575,0.185343509,0.154072271,0.156228229,0.121510154,0.155887529,0.101380952,SubFPC84
0.254191002,0.220928101,0.197444886,0.229900249,0.073683813,0.131709907,0.103564327,0.089128986,0.057629413,0.069233191,SubFPC101
0.088264762,0.072150116,0.033671135,0.095949832,0.126415846,0.146924786,0.073967904,0.052466462,0.085052288,0.188677657,SubFPC184
0.054527444,0.032905796,0.079103061,0.029617263,0.080806673,0.112777949,0.052332906,0.06607965,0.06781351,0.139070707,SubFPC38
0.135856054,0.052102564,0.015978261,0.132483223,0.033861594,0.086999862,0.079538462,0.035736989,0,0.075940239,SubFPC74
0.013913604,0.022432256,0.058739147,0.04065808,0.059102188,0.056371989,0.091669899,0.094793346,0.071311855,0.044989177,SubFPC174
0.097596502,0.095061923,0.061249716,0.077935398,0.034810023,0.01069697,0.022904762,0.062991342,0.021974747,0.063218045,SubFPC20
0.038222007,0.049637717,0.103361831,0.020157509,0.057137701,0.065800866,0.026805556,0.065020604,0.031,0,SubFPC26
0.087773195,0.042244507,0.015507206,0.084175891,0.014126984,0.014096154,0.015,0.020449495,0.044965517,0.067199158,SubFPC37
0.115581458,0.036050553,0.014273649,0.060842965,0.052210294,0.055128205,0.004,0.022156863,0.039425287,0.002076923,SubFPC17
0.06384234,0.078139892,0.044196386,0.069241275,0.013285714,0.009,0,0.019333333,0.01,0.030233918,SubFPC23
0.028832559,0.020452381,0.020315152,0,0.013333333,0,0,0.064761905,0,0.012857143,SubFPC125
0.014925975,0.022017762,0.023707746,0.001207112,0.000512821,0.010138889,0.002388592,0.003591954,0,0,SubFPC28
0.010437307,0.002758337,0,0,0.000166667,0,0,0,0,0,SubFPC172
